NodeId,lng,lat
BC,-81.36107672,27.20262808
4BB,-81.35905731,27.20263327
430,-81.3570379,27.20263842
41C,-81.35501848,27.20264355
A3,-81.35097965,27.20265372
AB,-81.34896024,27.20265877
9D,-81.3610709,27.20082245
4D9,-81.35905152,27.20082763
C3,-81.35703214,27.20083279
D3,-81.35501276,27.20083792
A6,-81.35299338,27.20084302
C7,-81.350974,27.20084809
D6,-81.34895462,27.20085313
AC,-81.36106509,27.19901682
C0,-81.35902566,27.19905817
425,-81.35702639,27.19902716
42A,-81.35500704,27.19903229
D2,-81.35298769,27.19903739
4BD,-81.35096834,27.19904246
4B2,-81.3488581,27.1990387
A4,-81.36105927,27.19721118
B7,-81.35903996,27.19721637
42F,-81.35702064,27.19722153
496,-81.35500132,27.19722665
4C6,-81.35298201,27.19723175
D4,-81.35096269,27.19723682
AF,-81.34894337,27.19724186
CD,-81.36105345,27.19540555
B8,-81.35903417,27.19541074
C8,-81.35701489,27.19541589
4BC,-81.35499561,27.19542102
4C0,-81.35297632,27.19542612
C4,-81.35095704,27.19543119
4BA,-81.34893775,27.19543623
A1,-81.36104764,27.19359992
B2,-81.35902839,27.1936051
420,-81.35700914,27.19361026
BD,-81.35498989,27.19361539
42B,-81.35297064,27.19362048
AE,-81.35095138,27.19362555
4DA,-81.34893213,27.19363059
